[INFO] 2025-03-29 00:13:25,446 [UID:2] basehttp - "GET /room/list/ HTTP/1.1" 200 26503
[DEBUG] 2025-03-29 00:13:40,232 [UID:2] views - start Room list_view
[DEBUG] 2025-03-29 00:13:40,235 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:13:40,235 [UID:2] views - return render room/list.html
[INFO] 2025-03-29 00:13:40,242 [UID:2] basehttp - "GET /room/list/ HTTP/1.1" 200 26503
[DEBUG] 2025-03-29 00:14:06,014 [UID:2] views - start Room list_view
[DEBUG] 2025-03-29 00:14:06,017 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:14:06,018 [UID:2] views - return render room/list.html
[INFO] 2025-03-29 00:14:06,026 [UID:2] basehttp - "GET /room/list/ HTTP/1.1" 200 26503
[DEBUG] 2025-03-29 00:14:07,303 [UID:2] views - start Room list_view
[DEBUG] 2025-03-29 00:14:07,305 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:14:07,306 [UID:2] views - return render room/list.html
[INFO] 2025-03-29 00:14:07,313 [UID:2] basehttp - "GET /room/list/ HTTP/1.1" 200 26503
[INFO] 2025-03-29 00:14:10,990 [UID:2] views - start Room detail_view
[DEBUG] 2025-03-29 00:14:10,994 [UID:2] views - get Room object(pk)
[DEBUG] 2025-03-29 00:14:10,996 [UID:2] views - return render room/detail.html
[INFO] 2025-03-29 00:14:11,001 [UID:2] basehttp - "GET /room/detail/7/ HTTP/1.1" 200 22242
[DEBUG] 2025-03-29 00:14:37,934 [UID:2] views - start Group list_view
[DEBUG] 2025-03-29 00:14:37,943 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:14:37,945 [UID:2] views - return render group/list.html
[INFO] 2025-03-29 00:14:37,955 [UID:2] basehttp - "GET /group/list/ HTTP/1.1" 200 23866
[INFO] 2025-03-29 00:14:38,018 [UID:2] basehttp - "GET /media/group/4_images_2503282342.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:14:38,019 [UID:2] basehttp - "GET /media/group/4_themes_2503282339.jpg HTTP/1.1" 304 0
[DEBUG] 2025-03-29 00:14:51,319 [UID:2] views - start Group list_view
[DEBUG] 2025-03-29 00:14:51,322 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:14:51,323 [UID:2] views - return render group/list.html
[INFO] 2025-03-29 00:14:51,332 [UID:2] basehttp - "GET /group/list/ HTTP/1.1" 200 23866
[INFO] 2025-03-29 00:14:51,356 [UID:2] basehttp - "GET /media/group/6_images_2503282342.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:14:51,357 [UID:2] basehttp - "GET /media/group/5_images_2503282342.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:14:51,385 [UID:2] basehttp - "GET /media/group/3_images_2503282343.png HTTP/1.1" 304 0
[INFO] 2025-03-29 00:14:51,385 [UID:2] basehttp - "GET /media/group/2_images_2503282343.jpg HTTP/1.1" 304 0
[DEBUG] 2025-03-29 00:14:52,686 [UID:2] views - start Group list_view
[DEBUG] 2025-03-29 00:14:52,688 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:14:52,689 [UID:2] views - return render group/list.html
[INFO] 2025-03-29 00:14:52,695 [UID:2] basehttp - "GET /group/list/ HTTP/1.1" 200 23866
[DEBUG] 2025-03-29 00:15:06,389 [UID:2] views - start Group list_view
[DEBUG] 2025-03-29 00:15:06,392 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:15:06,393 [UID:2] views - return render group/list.html
[INFO] 2025-03-29 00:15:06,403 [UID:2] basehttp - "GET /group/list/ HTTP/1.1" 200 23866
[INFO] 2025-03-29 00:15:06,422 [UID:2] basehttp - "GET /media/group/2_themes_2503282340.jpg HTTP/1.1" 304 0
[DEBUG] 2025-03-29 00:15:12,136 [UID:2] views - start Room list_view
[DEBUG] 2025-03-29 00:15:12,140 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:15:12,141 [UID:2] views - return render room/list.html
[INFO] 2025-03-29 00:15:12,150 [UID:2] basehttp - "GET /room/list/ HTTP/1.1" 200 26503
[INFO] 2025-03-29 00:15:12,184 [UID:2] basehttp - "GET /media/room/8_images_2503282347.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:15:12,183 [UID:2] basehttp - "GET /media/room/8_themes_2503282347.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:15:12,213 [UID:2] basehttp - "GET /media/room/6_themes_2503282349.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:15:12,232 [UID:2] basehttp - "GET /media/room/2_themes_2503282353.webp HTTP/1.1" 304 0
[INFO] 2025-03-29 00:15:12,215 [UID:2] basehttp - "GET /media/room/5_themes_2503282350.webp HTTP/1.1" 304 0
[INFO] 2025-03-29 00:15:12,216 [UID:2] basehttp - "GET /media/room/7_themes_2503282348.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:15:12,245 [UID:2] basehttp - "GET /media/room/4_themes_2503282351.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:15:12,248 [UID:2] basehttp - "GET /media/room/3_themes_2503282352.jpg HTTP/1.1" 304 0
[DEBUG] 2025-03-29 00:15:14,032 [UID:2] views - start Room list_view
[DEBUG] 2025-03-29 00:15:14,035 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:15:14,036 [UID:2] views - return render room/list.html
[INFO] 2025-03-29 00:15:14,041 [UID:2] basehttp - "GET /room/list/ HTTP/1.1" 200 26503
[DEBUG] 2025-03-29 00:15:50,988 [UID:2] views - start Room list_view
[DEBUG] 2025-03-29 00:15:50,992 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:15:50,993 [UID:2] views - return render room/list.html
[INFO] 2025-03-29 00:15:51,007 [UID:2] basehttp - "GET /room/list/ HTTP/1.1" 200 26503
[DEBUG] 2025-03-29 00:16:12,205 [UID:2] views - start Group list_view
[DEBUG] 2025-03-29 00:16:12,210 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:16:12,211 [UID:2] views - return render group/list.html
[INFO] 2025-03-29 00:16:12,221 [UID:2] basehttp - "GET /group/list/ HTTP/1.1" 200 23866
[INFO] 2025-03-29 00:16:12,257 [UID:2] basehttp - "GET /media/group/6_themes_2503282337.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:16:12,275 [UID:2] basehttp - "GET /media/group/5_themes_2503282338.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:16:12,315 [UID:2] basehttp - "GET /media/group/3_themes_2503282339.jpg HTTP/1.1" 304 0
[DEBUG] 2025-03-29 00:16:14,852 [UID:2] views - start Device list_view
[DEBUG] 2025-03-29 00:16:14,856 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:16:14,857 [UID:2] views - return render device/list.html
[INFO] 2025-03-29 00:16:14,869 [UID:2] basehttp - "GET /device/list/ HTTP/1.1" 200 22326
[INFO] 2025-03-29 00:16:14,895 [UID:2] basehttp - "GET /media/device/3_images_2503282357.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:16:14,936 [UID:2] basehttp - "GET /media/device/2_images_2503282356.webp HTTP/1.1" 304 0
[INFO] 2025-03-29 00:16:14,936 [UID:2] basehttp - "GET /media/device/1_images_2503282356.jpg HTTP/1.1" 304 0
[DEBUG] 2025-03-29 00:16:16,995 [UID:2] views - start Room list_view
[DEBUG] 2025-03-29 00:16:16,998 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:16:16,999 [UID:2] views - return render room/list.html
[INFO] 2025-03-29 00:16:17,003 [UID:2] basehttp - "GET /room/list/ HTTP/1.1" 200 26503
[DEBUG] 2025-03-29 00:16:17,893 [UID:2] views - start Device list_view
[DEBUG] 2025-03-29 00:16:17,899 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:16:17,900 [UID:2] views - return render device/list.html
[INFO] 2025-03-29 00:16:17,904 [UID:2] basehttp - "GET /device/list/ HTTP/1.1" 200 22326
