[INFO] 2025-04-03 00:16:03,376 [UID:Anon] autoreload - Watching for file changes with StatReloader
[INFO] 2025-04-03 00:16:17,424 [UID:1] views - start detail_view
[DEBUG] 2025-04-03 00:16:17,487 [UID:1] views - get Profile object(pk)
[DEBUG] 2025-04-03 00:16:17,494 [UID:1] views - return render user/detail.html
[INFO] 2025-04-03 00:16:17,546 [UID:1] basehttp - "GET /user/detail/2/ HTTP/1.1" 200 23376
[WARNING] 2025-04-03 00:16:17,578 [UID:1] log - Not Found: /media/user/2_themes_2504021501.jpg
[WARNING] 2025-04-03 00:16:17,684 [UID:1] basehttp - "GET /media/user/2_themes_2504021501.jpg HTTP/1.1" 404 4660
[WARNING] 2025-04-03 00:16:17,583 [UID:1] log - Not Found: /media/user/2_images_2504021512.webp
[WARNING] 2025-04-03 00:16:17,689 [UID:1] basehttp - "GET /media/user/2_images_2504021512.webp HTTP/1.1" 404 4664
[INFO] 2025-04-03 00:16:17,695 [UID:1] views - start Friend disp_qr_view
[INFO] 2025-04-03 00:16:17,695 [UID:1] views - url_for_qr=http://127.0.0.1:8000/friend/create/?profile_id=2
[DEBUG] 2025-04-03 00:16:17,710 [UID:1] utils - Logo file load from: C:\Users\sasay\Desktop\Python\AinoteProject/static/img/ainote.png
[INFO] 2025-04-03 00:16:17,736 [UID:1] basehttp - "GET /friend/disp_qr/?profile_id=2 HTTP/1.1" 200 8343
[INFO] 2025-04-03 00:16:18,959 [UID:1] views - start Profile update_view
[DEBUG] 2025-04-03 00:16:18,960 [UID:1] views - get Profile object(pk)
[INFO] 2025-04-03 00:16:18,964 [UID:1] views - GET method
[DEBUG] 2025-04-03 00:16:18,965 [UID:1] forms - mbti_value=-
[DEBUG] 2025-04-03 00:16:18,965 [UID:1] forms - self.fields['mbti_name'].choices=[('', '---------')]
[INFO] 2025-04-03 00:16:18,965 [UID:1] views - return render user/update.html
[INFO] 2025-04-03 00:16:18,981 [UID:1] basehttp - "GET /user/update/2/ HTTP/1.1" 200 36094
[WARNING] 2025-04-03 00:16:19,007 [UID:1] log - Not Found: /media/user/2_themes_2504021501.jpg
[WARNING] 2025-04-03 00:16:19,092 [UID:1] basehttp - "GET /media/user/2_themes_2504021501.jpg HTTP/1.1" 404 4660
[WARNING] 2025-04-03 00:16:19,011 [UID:1] log - Not Found: /media/user/2_images_2504021512.webp
[WARNING] 2025-04-03 00:16:19,109 [UID:1] basehttp - "GET /media/user/2_images_2504021512.webp HTTP/1.1" 404 4664
[DEBUG] 2025-04-03 00:16:19,035 [UID:1] views - start Profile get_mbti_name_choices
[DEBUG] 2025-04-03 00:16:19,122 [UID:1] views - mbti_name_choices=[]
[INFO] 2025-04-03 00:16:19,122 [UID:1] basehttp - "GET /user/get_mbti_name_choices/?mbti=- HTTP/1.1" 200 25
[INFO] 2025-04-03 00:16:33,239 [UID:1] views - start Profile update_view
[DEBUG] 2025-04-03 00:16:33,239 [UID:1] views - get Profile object(pk)
[INFO] 2025-04-03 00:16:33,243 [UID:1] views - POST method
[DEBUG] 2025-04-03 00:16:33,244 [UID:1] forms - mbti_value=-
[DEBUG] 2025-04-03 00:16:33,244 [UID:1] forms - self.fields['mbti_name'].choices=[('', '---------')]
[DEBUG] 2025-04-03 00:16:33,244 [UID:1] forms - mbti_name_value=
[DEBUG] 2025-04-03 00:16:33,245 [UID:1] forms - valid_choices=[]
[DEBUG] 2025-04-03 00:16:33,281 [UID:1] views - form.is_valid
[DEBUG] 2025-04-03 00:16:33,282 [UID:1] views - images_data exists
[DEBUG] 2025-04-03 00:16:33,282 [UID:1] utils - old images_data exists
[DEBUG] 2025-04-03 00:16:33,282 [UID:1] utils - old images_data=C:\Users\sasay\Desktop\Python\AinoteProject\media\1_images_2503282356.jpg
[DEBUG] 2025-04-03 00:16:33,282 [UID:1] utils - old images_data file not exists
[DEBUG] 2025-04-03 00:16:33,283 [UID:1] utils - new images_data=2_images_2504021516.jpg
[DEBUG] 2025-04-03 00:16:33,283 [UID:1] views - themes_data exists=1_themes_2503281713.jpg
[DEBUG] 2025-04-03 00:16:33,283 [UID:1] utils - old themes_data exists
[DEBUG] 2025-04-03 00:16:33,283 [UID:1] utils - old themes_data=C:\Users\sasay\Desktop\Python\AinoteProject\media\1_themes_2503281713.jpg
[DEBUG] 2025-04-03 00:16:33,284 [UID:1] utils - old themes_data file not exists
[DEBUG] 2025-04-03 00:16:33,284 [UID:1] utils - themes_data=2_themes_2504021516.jpg
[DEBUG] 2025-04-03 00:16:33,284 [UID:1] views - save updated Profile object
[INFO] 2025-04-03 00:16:33,326 [UID:1] views - return redirect user:list
[INFO] 2025-04-03 00:16:33,327 [UID:1] basehttp - "POST /user/update/2/ HTTP/1.1" 302 0
[DEBUG] 2025-04-03 00:16:33,331 [UID:1] views - start Profile list_view
[DEBUG] 2025-04-03 00:16:33,382 [UID:1] views - object_list exists
[INFO] 2025-04-03 00:16:33,383 [UID:1] views - return render user/list.html
[INFO] 2025-04-03 00:16:33,394 [UID:1] basehttp - "GET /user/list/ HTTP/1.1" 200 19690
[INFO] 2025-04-03 00:16:33,532 [UID:1] basehttp - "GET /media/user/2_themes_2504021516.jpg HTTP/1.1" 200 73967
[INFO] 2025-04-03 00:16:33,537 [UID:1] basehttp - "GET /media/user/2_images_2504021516.jpg HTTP/1.1" 200 6407
[INFO] 2025-04-03 00:16:37,352 [UID:1] views - start detail_view
[DEBUG] 2025-04-03 00:16:37,402 [UID:1] views - get Profile object(pk)
[DEBUG] 2025-04-03 00:16:37,408 [UID:1] views - return render user/detail.html
[INFO] 2025-04-03 00:16:37,419 [UID:1] basehttp - "GET /user/detail/2/ HTTP/1.1" 200 23373
[INFO] 2025-04-03 00:16:37,446 [UID:1] basehttp - "GET /media/user/2_themes_2504021516.jpg HTTP/1.1" 304 0
[INFO] 2025-04-03 00:16:37,447 [UID:1] basehttp - "GET /media/user/2_images_2504021516.jpg HTTP/1.1" 304 0
[INFO] 2025-04-03 00:16:37,615 [UID:1] views - start Friend disp_qr_view
[INFO] 2025-04-03 00:16:37,615 [UID:1] views - url_for_qr=http://127.0.0.1:8000/friend/create/?profile_id=2
[DEBUG] 2025-04-03 00:16:37,629 [UID:1] utils - Logo file load from: C:\Users\sasay\Desktop\Python\AinoteProject/static/img/ainote.png
